"Aga Khan Education Service, Kenya","Aga Khan Education Service Kenya Premises, 6th Parklands Ave off Limuru Rd ",/site/directions/1376957,Primary  (+254) (020) 200 06 14
Air Travel & Tours Training College,"Kenya Cinema Plaza, 3rd Flr, Moi Ave ",/site/directions/85770,Mobile  (+254) 0722 810715
Amager Systems Engineering Ltd,"Air Kenya Bldg, 2nd Flr off Lang''ata Rd ",/site/directions/127072,Primary  (+254) (020) 600 74 85
Amiran Communications Ltd,"Amiran Kenya Ltd Premises, Airport North Rd ",http://www.amirancomm.com,Mobile  (+254) 0722 361934
Amiran (K) Ltd,"Amiran Kenya Ltd Premises, Airport North Rd ",/site/directions/1319536,Primary  (+254) (020) 690 70 00
Apple-Tech Designers Ltd,"Kenya Hse, 2nd Flr, 16, Koinange St /Monrovia St ",/site/directions/839473,Mobile  (+254) 0722 312094
Asker Cleaning Services,"Air Kenya Bldg, 2nd Flr, Lang''ata Rd ",http://www.asker.co.ke,Mobile  (+254) 0720 849296
Associated Services Consultants,"Bomas of Kenya Premises, Forest Edge Rd ",/site/directions/1191544,Mobile  (+254) 0722 723813
Bamburi Cement Ltd - Corporate Office Nairobi,"Kenya Re Towers, 6th & 9th Flr, Hill Ln off Ragati rd ",/site/directions/957583,Mobile  (+254) 0722 205001
Baptist Mission of Kenya,"Baptist Mission of Kenya, Peponi Rd ",/site/directions/158500,Mobile  (+254) 0733 610280
Basco Products (K) Ltd,"Basco Products kenya Limited Premises, Airport North Rd ",http://www.bascopaints.com,Primary  (+254) (020) 204 50 96
Beiyangu Ventures,"Kenya National Library Services, Ngong Rd ",http://www.beiyangu.co.ke,Mobile  (+254) 0724 853312
Bennbeat Crop,"Kenya Re Towers, P2 Flr, Ragati Cls Off Ragati Rd ",/site/directions/1432589,Mobile  (+254) 0720 551864
"Bible Society of Kenya,The","Bible Society of Kenya Bldg, Lang''ata Rd ",http://www.biblesociety-kenya.org,Primary  (+254) (020) 600 28 27
Bi-mach Engineers Ltd,"Kenya Industrial Estates Ltd (Bldg 17), Lokitaung Rd ",/site/directions/1209480,Primary  (+254) (020) 655 41 79
Bollywood Casino,"Mt. Kenya Sundries Bldg, Waiyaki Way ",/site/directions/949774,Mobile  (+254) 0714 606937
Bomas of Kenya Ltd,"Bomas of Kenya Premises, Forest Edge Rd Off Langata Rd ",http://www.bomasofkenya.co.ke,Primary  (+254) (020) 806 84 00
Brunswick Freight Logistic,"Kenya Coast Service Bldg, 2nd Flr, Accra Rd ",http://www.brunswicklogistics.org,Mobile  (+254) 0720 730646
Bulerro Wangaliwa & Co. Associates,"Kenya Police Sacco Plaza, Ngara Rd ",/site/directions/1489209,Mobile  (+254) 0724 862977
Business Post Media Services Ltd,"Kenya Railways Headquarters Premises, Workshop Rd ",/site/directions/798066,Primary  (+254) (020) 331 19 12
Cadbury Kenya Ltd,"Cadbury Kenya East Africa (Bldg 4), Ol Kalou Rd ",http://www.mondelezinternational.com,Mobile  (+254) 0722 205142
Candy (K) Ltd,"Candy Kenya Ltd Premises, Road C Off Mombasa Rd ",/site/directions/252887,Primary  (+254) (020) 655 27 22
Celtic (K) Ltd,"Celtic Kenya Premises, Airport North Rd ",http://www.celtic.nl,Mobile  (+254) 0728 608661
Centreline Projects Limited,"1, Kenya Re Garden Estate, Unit 8, Red Cross Rd ",http://www.centrelineprojects.com,Primary  (+254) (020) 208 81 68
Centrum Business Link,"Kenya Cinema Plaza, 2nd Flr, Moi Ave ",/site/directions/837200,Mobile  (+254) 0725 946136
Cheche Group,"Kenya National Theater, Harry Thuku Rd ",/site/directions/1186748,Mobile  (+254) 0722 453390
Chemid Kenya Ltd,"Chemid Kenya Ltd (Bldg 35), Lunga Lunga Rd ",http://www.chemidkenya.com,Primary  (+254) (020) 351 69 71
CHF International/Kenya,"CHF International Kenya Premises, Grevillea Grv Off Brookside Rd ",http://www.chfinternational.org,Mobile  (+254) 0735 333243
City Hydraulics (K) Ltd,"City Hydraulics Kenya Ltd Bldg, Chogoria Rd ",/site/directions/929598,Mobile  (+254) 0722 520531
CK Fashions,"Kenya Cinema Plaza, Gr Flr, Moi Ave ",http://www.carl&petecollections.com,Mobile  (+254) 0722 805949
Clear View Enterprises Ltd,"Kenya Hse, Koinange St ",/site/directions/1337171,Mobile  (+254) 0723 470905
Cocopan Construction Kenya Ltd,"Cocopan Construction Kenya Ltd Bldg, Northern Bypass ",http://www.cocopanconstructionkenya.co.ke,Mobile  (+254) 0721 179113
Commonwealth Association of Techinical Universities & Polytechnics in Africa,"Technical University of Kenya(Kenya Poly), Haile Selassie Ave ",http://www.capa-sec.org,Primary  (+254) (020) 34 36 72
Controltech Limited,"Kenya Grange Vehicle Industries Ltd Bldg, Kitui Rd ",/site/directions/1458181,Mobile  (+254) 0703 204570
"Co-operative University College of Kenya, The - Karen Campus","Co-operative University College of Kenya, The, Ushirika Rd Off Langata South Rd ",http://www.cooperative.ac.ke,Mobile  (+254) 0724 311606
Cover Girl (1994) Kenya Ltd,"Kenya Cinema Plaza, Gr Flr, Moi Ave ",/site/directions/79276,Primary  (+254) (020) 222 38 60
Crowne Plaza Hotel & Resorts,"Crowne Plaza, Kenya Rd ",http://www.crownplaza.com/nbi,Primary  (+254) (020) 274 60 00
De Kings Traders Ltd,"Kenya Hse, 2nd Flr, Koinange St ",/site/directions/839471,Mobile  (+254) 0722 415503
DeKings Traders Ltd,"Kenya Hse, 2nd Flr, Koinange St ",http://www.denkingstraders.com,Mobile  (+254) 0722 513176
Desbro (Kenya) Ltd,"Desbro Kenya Ltd Bldg, Kampala Rd ",http://www.desbroeastafrica.com,Primary  (+254) (020) 655 76 00
Domaine (K) Ltd,"Domaine Kenya Ltd Bldg Unit 20, Lokitaung Rd ",http://www.domainekenya.co.ke,Primary  (+254) (020) 655 89 11
Dong Fang Development Co. Ltd,"Kenya Canvas Bldg, Muindi Mbingu St ",http://www.dongfang.co.ke,Mobile  (+254) 0726 915415
E & A Industries Ltd,"Dunlop Kenya Factory Bldg, Nanyuki Rd ",/site/directions/770634,Primary  (+254) (020) 248 50 63
"Eastern Africa Association, The","Kenya Medical Association Centre, 7th Flr, Mara Rd ",http://www.eaa-lon.co.uk,Primary  (+254) (020) 271 16 43
Ecopallets Kenya Limited,"Ecopallets Kenya Ltd premises, Mombasa Rd ",http://www.ecopallets.co.ke,Primary  (+254) (020) 354 20 51
Elgon (K) Ltd,"No.6, Elgon Kenya Ltd Bldg Opp Barclays Bank, East Gate Rd Off Mombasa Rd ",http://www.elgonkenya.com,Primary  (+254) (020) 239 99 83
Elum Graphics Ltd,"Kenya Industrial Estates Ltd Premises, Likoni Rd ",/site/directions/1391576,Mobile  (+254) 0722 729751
Emerging Markets Communications Ltd,"Kenya Re Towers, Gr Flr, Hill Ln ",http://www.emc-corp.net,Primary  (+254) (020) 273 32 45
Ernst & Young - Upper Hill,"Kenya Re Towers, Ragati Cls off Ragati Rd ",http://www.ey.com/kenya,Primary  (+254) (020) 271 53 00
Eye Modes Ltd,"Kenya Cinema Plaza, Gr Flr, Moi Ave ",/site/directions/83127,Mobile  (+254) 0732 700272
Facelift Advertising Ltd,"Kenya Railways Headquarters Premises, Workshop Rd ",http://www.faceliftlimited.co.ke,Primary  (+254) (020) 224 29 76
Fikira Company,"Kenya Paraplegic Compound, Lenana Rd ",/site/directions/1128204,Mobile  (+254) 0721 237358
Flower Wings (K) Ltd,"Flower Processing Kenya Bldg JKIA, Freight Terminal Rd ",/site/directions/973870,Mobile  (+254) 0734 344444
FPFK Guest House (Free Pentecostal Fellowship in Kenya),"Free Pentecostal Fellowship in Kenya, Kindaruma Rd Off Menelik Rd ",http://www.fpfkguesthouse.com,Mobile  (+254) 0735 750687
Free Pentecostal Fellowship In Kenya,"Free Pentecostal Fellowship in Kenya, Kindaruma Rd off Menelik Rd ",http://www.fpfk.or.ke,Primary  (+254) (020) 387 01 26
Gallamoro Network,"Kenya Cinema Bldg, 1st Flr, Moi Ave ",http://www.gallamoronetwork.org,Mobile  (+254) 0733 702138
Gazebo Restaurant,"Gazebo Restaurant Premises, Kenya Rd ",/site/directions/1410384,Mobile  (+254) 0723 631871
Genitems Co Ltd,"Kenya Industrial Estates Ltd (Bldg 17) Shed No 26, Lokitaung Rd off Likoni Rd ",/site/directions/1093352,Primary  (+254) (020) 655 52 84
Globyte Communications Ltd,"Kenya Railways Headquarters Premises, Workshop Rd ",/site/directions/1340570,Mobile  (+254) 0722 564148
Golden Jubilee Ltd,"Crowne Plaza, Kenya Rd ",http://www.crownplaza.com,Primary  (+254) (020) 271 18 04
Greenklean Ltd,"Kenya Institute for the Blind Compound, Mai Mahiu Rd ",/site/directions/263699,Mobile  (+254) 0722 870116
Hans (K) Ltd,"Hans Kenya Bldg, Mogadishu Rd off Lunga Lunga Rd ",http://www.hanskenya.com,Primary  (+254) (020) 374 03 65
Henkel Kenya Ltd,"Henkel Kenya Ltd Premises, Outer Ring Rd ",http://www.henkel.com,Mobile  (+254) 0722 435582
Hopewell Freighters Ltd - JKIA,Kenya Union of The Blind Bldg off Airport North Rd ,/site/directions/1372282,Mobile  (+254) 0722 201944
Iberafrica Power (E.A) Ltd,"Kenya Power Premises, Lunga Lunga Rd ",http://www.unionfenosa.es,Primary  (+254) (020) 365 47 00
IGAD Climate Prediction & Applications Centre,"Kenya Meteorological Department Headquater Bldg, Ngong Rd ",http://www.icpac.net,Primary  (+254) (020) 351 44 26
Imax Kenya - Kenya Cinema,"Kenya Cinema Plaza, Moi Ave ",/site/directions/971834,Mobile  (+254) 0733 835097
Impact Chemicals Ltd,"Kenya Industrial Estates Ltd (Bldg 17) Godown No 42, Lokitaung Rd off Likoni Rd ",http://www.impactchemicals.co.ke,Mobile  (+254) 0722 824725
In Time Forwarders Ltd,"Kenya Ports Authority Inland Container Depot, Mombasa Rd ",/site/directions/1393807,Mobile  (+254) 0722 811794
Innscor (K) Ltd - Muindi Mbingu,"Kenya Comfort Hotel, Muindi Mbingu St ",/site/directions/1081749,Mobile  (+254) 0727 448804
International Council of African Museums (AFRICOM),"National Museums of Kenya, Museum Hill Rd ",http://www.african-museums.org,Mobile  (+254) 0721 392891
International Monetary Fund,"Kenya Re Towers, 10th Flr, Hill Ln ",http://www.imf.org,Primary  (+254) (020) 288 20 00
International School of Kenya,"International School of Kenya Premises, Kirawa Rd Off Peponi Rd ",http://www.isk.ac.ke,Primary  (+254) (020) 209 13 08
Internet Surfpoint Ltd,"Kenya Cinema Plaza, 2nd Flr, Moi Ave ",/site/directions/837118,Mobile  (+254) 0721 275289
Inuka Kenya,Inuka Kenya Premises Off Wood Avenue ,http://www.nisisikenya.com,Primary  (+254) (020) 250 24 69
Irnet Coop Kenya Ltd.,"Kenya Bankers Association, 3rd Ngong Ave ",http://www.irnetkenya.com,Mobile  (+254) 0726 761485
Jambojet,"Kenya Airways Premises, Airport North Rd ",http://www.jambojet.com,Primary  (+254) (020) 327 45 45
JAT Autoparts (K) Ltd,"Jat Auto Parts Kenya Ltd Premises, Baricho Rd ",/site/directions/1093221,Primary  (+254) (020) 358 46 50
Jicho Four Productions,"Kenya National Theatre, Harry Thuku Rd ",/site/directions/1316252,Mobile  (+254) 0721 288716
Johari Productions,"Kenya National Theatre, Harry Thuku Rd ",http://www.joharifive.com,Mobile  (+254) 0721 604742
Journal & Press Corp,"Kenya Re Towers, P3 Flr, Ragati Cls ",http://www.journalnpressafrica.com,Primary  (+254) (020) 272 70 31
Karen Holiday Homes,"New Kenya School Of Law, May East Rd ",/site/directions/1138613,Primary  (+254) (020) 201 86 50
Kenan Travel & Tours,"Kenya Hse, 1st Flr, Koinange St ",http://www.kenantravel.com,Mobile  (+254) 0722 726579
Kenital Solar Ltd,"Faulu Kenya Bldg opp Nairobi Baptist Church, Ngong Rd /Golf Course Rd ",http://www.kenital.com,Mobile  (+254) 0722 820560
Kenya Aeronautical College,"Kenya Aeronautical Bldg, Gr Flr off Lang''ata Rd ",http://www.kac.co.ke,Primary  (+254) (020) 213 20 45
Kenya Air Force Golf Club,Kenya Airforce Eastleigh Air Base ,/site/directions/1266925,Primary  (+254) (020) 676 44 01
Kenya Airports Authority - Head Office,"Kenya Airport Authority Complex, Airport South Rd ",http://www.kenyaairports.co.ke,Primary  (+254) (020) 661 10 00
Kenya Airways - Head Office,"Kenya Airways Premises, Airport North Rd ",/site/directions/1267392,Mobile  (+254) 0734 102000
Kenya Asia Industry Ltd,"Kenya Asia Industrial Ltd, Airport North Rd Off Mombasa Rd ",http://www.kenyaasia.com,Mobile  (+254) 0708 552472
Kenya Bankers Sacco Society Ltd,"Kenya Bankers Association, 3rd Ngong Ave off Ngong Rd ",http://www.kbsacco.co.ke,Primary  (+254) (020) 272 02 31
Kenya Builders & Concrete Co Ltd,"Kenya Builders & Concrete Company Limited Bldg, Argwings Kodhek Cls off Argwings Kodhek Rd ",/site/directions/112780,Primary  (+254) (020) 271 61 70
Kenya Bureau of Standards (KEBS) - Head Office,"Kenya Bureau of Standards (KEBS) Bldg, Popo Rd off Mombasa Rd ",http://www.kebs.org,Primary  (+254) (020) 600 55 73
Kenya Clay Products Ltd/Manson Hart - Nairobi,"Kenya Clay Products Ltd Premises after Kenyatta University, Thika Super Hwy ",/site/directions/1400985,Primary  (+254) (020) 201 18 05
Kenya Coach Industries Ltd,"Kenya Coach Industries Premises, Addis Ababa Rd off Enterprise Rd ",http://www.kci.co.ke,Primary  (+254) (020) 655 51 88
Kenya Comfort Hotel,"Kenya Comfort Hotel Bldg, Muindi Mbingu St Monrovia St ",http://www.kenyacomfort.com,Mobile  (+254) 0788 608866
Kenya Comfort Hotel & Suites,"Kenya Comfort Hotel Suites, Milimani Rd ",http://www.kenyacomfort.com,Mobile  (+254) 0720 608867
"Kenya Conservatoire of Music, The","Kenya National Theatre, Harry Thuku Rd ",http://www.conservatoire.co.ke,Mobile  (+254) 0720 962288
Kenya Continental Hotel,"Kenya Continental Hotel Premises, Rhapta Rd ",/site/directions/1320218,Primary  (+254) (020) 444 47 72
Kenya Cultural Centre,"Kenya National Theatre, Harry Thuku Rd ",http://www.kenyaculturalcentre.go.ke,Primary  (+254) (020) 267 28 43
Kenya Freedom From Hunger Council,Kenya Freedom from hunger Council off Rhapta Rd ,/site/directions/1295514,Mobile  (+254) 0721 838618
Kenya Highland Seed Co Ltd,"Kenya Highland Seeds Company Bldg, Road C off Enterprise Rd ",http://www.royalseed.biz,Mobile  (+254) 0725 549997
Kenya Horticultural Exporters (1977) Ltd,"Kenya Horticultural Exporters Premises Next To Nas Plastics, Enterprise Rd ",http://www.khekenya.com,Primary  (+254) (020) 234 58 74
Kenya Human Rights Commission,"Kenya Human Rights Commission Bldg Opp. Valley Arcade, Gitanga Rd ",http://www.khrc.or.ke,Primary  (+254) (020) 210 67 63
Kenya Hydraulics Ltd,"Kenya Hydraulics Ltd (Bldg 90) Next to Road B, Enterprise Rd ",http://www.kenyahydraulics.com,Primary  (+254) (020) 237 42 86
Kenya Industrial Property Institute,"B, Kenya Industrial Property Institute Bldg, Popo Rd ",http://www.kipi.go.ke,Primary  (+254) (020) 238 62 20
Kenya Institute of Advanced Driving,"Kenya Insititute of Advanced Driving (Bldg 13), Isiolo Rd ",/site/directions/111381,Mobile  (+254) 0723 659030
"Kenya Institute of Curriculum Development, The","Kenya Institute of Education, Desai Rd ",http://www.kenya instituteocurriculumdevelopment.ac.ke,Mobile  (+254) 0729 327331
Kenya Institute for the Blind,"Kenya Institute for the Blind Bldg, Mai Mahiu Rd off Lang''ata Rd ",http://www.keib.or.ke,Primary  (+254) (020) 600 43 99
Kenya Institute of Highways and Building Technology,"Kenya Insitiute of Highway & Bldg Premises, Commercial St ",http://www.kihbt.ac.ke,Primary  (+254) (020) 239 07 58
Kenya Institute of Mass Communication,"Kenya Institute of Mass Communciation Premises, Mwembere Rd ",http://www.kimc.ac.ke,Primary  (+254) (020) 655 15 98
Kenya Institute of Special Education,Kenya Institute of Special Education Premises next to I.C.I.P.E off Thika Rd ,/site/directions/775173,Primary  (+254) (020) 800 79 77
Kenya International Hotel Ltd - Head Office,"Kenya International Hotel Bldg, Murang''a Rd ",http://www.kahamahotel.com,Primary  (+254) (020) 206 13 27
Kenya Investment Authority,"Block D, Kenya Railways Headquarters Premises, 4th Flr, Workshop Rd ",/site/directions/1308244,Mobile  (+254) 0730 104200
Kenya Kayo Motors Ltd,"Kenya Kayo Motors Bldg, Dar-es-Salaam Rd ",/site/directions/1386256,Mobile  (+254) 0720 842851
Kenya Laboratory Supply Centre Ltd,"Kenya Laboratory Supply Centre, Kirinyaga Rd ",/site/directions/1423289,Mobile  (+254) 0772 067091
Kenya Leather Experts,"Kenya Leather Experts Bldg Lenana High School Junction, Off Ngong Rd ",/site/directions/1432617,Mobile  (+254) 0723 675763
Kenya Lighting Industries Ltd,"Kenya Lighting Industries Premises, Solai Rd ",/site/directions/244207,Primary  (+254) (020) 264 86 43
Kenya Literature Bureau,"Kenya Literature Bureau Bldg off Popo Rd, off Mombasa Rd ",http://www.klb.co.ke,Primary  (+254) (020) 354 11 96
Kenya Meat Commission,Kenya Meat Commission Premises off Landhies Rd ,/site/directions/1056633,Mobile  (+254) 0710 600932
Kenya Medical Association,"Kenya Medical Association Centre opp Visa Place Restaurant, 4th Flr, Mara Rd ",http://www.kma.co.ke,Primary  (+254) (020) 386 45 06
Kenya Meteorological Department - Head Office,"Kenya Meteorological Department Headquater Bldg, Ngong Rd ",http://www.meteo.go.ke,Primary  (+254) (020) 386 78 84
Kenya National Archives & Documentation Services,"Kenya National Archives Bldg, Moi Ave ",http://www.kenyarchives.go.ke,Primary  (+254) (020) 222 89 59
Kenya National Library Service - Buruburu,Kenya National Library Services Near St.James Church Junction of Mumias Rd/Ol Donyo Sabuk Rd ,/site/directions/1192639,Primary  (+254) (020) 778 67 10
Kenya Paediatric Association,"Kenya Medical Association Centre, 3rd Flr, Suite No. 301, Mara Rd ",http://www.kenyapaediatric.org,Mobile  (+254) 0726 161590
Kenya Police Savings & Credit Co-operative Society - Pilot Line,"Kenya Police Sacco Plaza, 3rd Flr, Ngara Rd ",/site/directions/1390102,Mobile  (+254) 0705 825000
Kenya Ports Authority,"Kenya Ports Authority Premises, Old Mombasa Rd ",http://www.kpa.co.ke,Primary  (+254) (020) 693 10 00
Kenya Power - Dagoretti Emergency Line,"Kenya Power Bldg-Dagoretti, Naivasha Rd ",/site/directions/1106945,Primary  (+254) (020) 249 31 41
Kenya Power & Lighting Training School,Kenya Power Training School Premises next to Utalii College off Thika Super Hway ,/site/directions/1134204,Primary  (+254) (020) 266 63 48
Kenya Professional Safari Guides Association,"Kenya Wildlife Services Complex, Lang''ata Rd ",http://www.safariguides.org,Primary  (+254) (020) 234 24 26
Kenya Railway Staff Retirement Benefit Scheme,"Kenya Railways Headquarters Premises, Gr Flr, Workshop Rd ",http://www.kenrailtrust.co.ke,Mobile  (+254) 0719 314249
Kenya Railways Corporation,"Off Haile Selassie Ave Opp Kenya Polytechnic opp Kenya Polytechnic, Workshop Rd ",/site/directions/1185294,Mobile  (+254) 0728 603581
Kenya Red Cross Society - Head Office,"Kenya Red Cross (Headquarters) Belle-Vue South C, Red Cross Rd off Popo Rd ",http://www.kenyaredcross.org,Primary  (+254) (020) 222 35 49
Kenya Roads Board,"Kenya Re Tws, 3rd Flr, Ragati Cls off Ragati Rd ",http://www.krb.go.ke,Primary  (+254) (020) 498 00 00
Kenya School of Government,"Kenya School of Government premises, Lower Kabete Rd ",http://www.ksg.ac.ke,Primary  (+254) (020) 237 53 40
Kenya School of Law,"Kenya School of Law Premises Next to KBC Masts, Lang''ata South Rd off Karen South Rd ",http://www.ksl.ac.ke,Primary  (+254) (020) 269 95 81
Kenya School of Monetary Studies,"Kenya School of Monetary Studies Premises Noordin Rd, off Thika Super Hwy ",http://www.ksms.or.ke,Primary  (+254) (020) 864 60 00
Kenya Society For The Mentally Handicapped,"Kenya Society For The Mentally Handicapped Bldg, Waiyaki Way ",http://www.ksmh.org,Mobile  (+254) 0729 476101
Kenya Stationers Ltd,"Kenya Stationers Ltd Premises, Isiolo Rd ",http://www.kensta.com,Primary  (+254) (020) 696 20 00
Kenya Steel Fabricators,"Kenya Steel Fabricators Premises, Road C Off Enterprise Rd ",http://www.kenyasteel.com,Primary  (+254) (020) 800 78 40
Kenya Students Christian Fellowship,"Kenya Students Christian Fellowship Bldg, David Osieli Rd off Waiyaki Way ",http://www.kscf.org,Mobile  (+254) 0721 770933
Kenya Surgical Engineers Ltd,"Kenya Surgical Engineers Bldg, Brookside Drv ",/site/directions/1458068,Primary  (+254) (020) 216 17 62
Kenya Sweets Ltd,Kenya Sweets Ltd Bldg Off North Airport Rd ,/site/directions/526315,Primary  (+254) (020) 352 05 75
Kenya Tents Ltd,"Kenya Tents Ltd opp power stn, after Roysambu, Thika Super Hwy ",http://www.kenyatents.com,Primary  (+254) (020) 231 79 84
Kenya Tourism Board,"Kenya Re Towers, 7th/8th Flr, Ragati Rd ",http://www.magicalkenya.com,Primary  (+254) (020) 274 90 00
Kenya Tyres Distributors Ltd,"Kenya Tyres Distributors Premises, Dar-es-Salaam Rd ",/site/directions/1185437,Primary  (+254) (020) 655 46 52
Kenya Universities and Colleges Central Placement Service,"University of Nairobi Kenya Science Campus, Ngong Rd ",http://www.kuccps.ac.ke,Mobile  (+254) 0734 879662
Kenya Utalii College,Kenya Utalii College Premises off Thika SuperHwy ,http://www.utalii.co.ke,Primary  (+254) (020) 245 86 27
Kenya Veterinary Board,"Kenya Veterinary Board Premises, Upper Kabete Rd ",http://www.kenyavetboard.org,Mobile  (+254) 0722 305253
"Kenya Water Institute, The (KEWI)","Kenya Water Institute (KEWI), Ole Shapara Ave off Muhoho Ave ",http://www.kewi.or.ke,Primary  (+254) (020) 600 74 25
Kenya Weaver Bird Ltd,"Kenya Weaverbird Premises, Kinanda Rd Off Peponi Rd ",http://www.kenyaweaverbird.com,Primary  (+254) (020) 207 26 29
Kenya Wildlife Service - Headquaters,"Kenya Wildlife Services Complex, Lang''ata Rd ",http://www.kws.go.ke,Primary  (+254) (020) 237 94 07
Kenya Wine Agencies Ltd - Head Office,"Kenya Wine Agencies Premises, Enterprise Rd ",/site/directions/973603,Primary  (+254) (020) 653 05 66
Kenya Women Holding Limited - Head Office,"Kenya Women Holdings Bldg, Mucai Rd ",/site/directions/1015105,Mobile  (+254) 0727 910000
Kenya Youth Business Trust,Amref Kenya ,http://www.kybt.org,Mobile  (+254) 0724 253913
Kikao Interiors Ltd,"Kenya Hse, Koinange St ",/site/directions/1344243,Mobile  (+254) 0718 354466
KIP Melamine - Industrial Area,"Kenya Industrial Plastics Ltd (Bldg 10) opp Nestle Food, Pate Rd ",http://www.kipmelamine.com,Mobile  (+254) 0722 773850
Kipevu Restaurant,"Kenya Ports Authority Premises, Old Mombasa Rd ",/site/directions/1446070,Primary  (+254) (020) 682 02 18
Kiplangat & Associates,"Kenya Re Towers, Ragati Cls ",/site/directions/1437855,Mobile  (+254) 0719 317581
Kiplangat & Associates Advocates,"Kenya Re Towers, P 1 Flr, Ragati Cls ",/site/directions/1210462,Mobile  (+254) 0722 202415
Kirloskar (K) Ltd,"Kirloskar Kenya Ltd Premises, Dunga Cls off Dunga Rd ",/site/directions/1430366,Mobile  (+254) 0721 908122
Klassique Auto Zone,"Opp. Subaru Kenya, Addis Ababa Rd ",We need a website,Mobile  (+254) 0712 018601
Kolping Organization of Kenya,"Kolping Organization of Kenya Premises Opp Swara Hotel, Magadi Rd ",http://www.kolpingke.org,Mobile  (+254) 0705 125168
Kooltech Engineering Co Ltd,"Kenya Industrial Estates Ltd Premises, Likoni Rd /lusingeti Rd ",/site/directions/1249485,Primary  (+254) (020) 653 03 73
Kwanza Kenya Club,"United Kenya Club, State House Rd Off University Way ",http://www.kwanza.freetoasthost.com,Mobile  (+254) 0715 209997
Laborex Kenya Ltd - Nairobi,"Laborex Kenya, Mombasa Rd ",/site/directions/1396351,Mobile  (+254) 0703 478453
Landmark Business Centre Ltd,"Kenya Cinema Plaza 209/1913, 4th Flr, Moi Ave ",/site/directions/1447317,Mobile  (+254) 0723 814703
Leonard Cheshire Disability International,"Kenya Police Sacco Plaza, 4th Flr, Ngara Rd ",http://www.lcd-enar.org,Primary  (+254) (020) 232 07 02
Library & Allied Services (K) Ltd,"Kenya Re Towers, P3 Flr, Ragati Cls off Ragati Rd ",http://www.libraryandallied.com,Mobile  (+254) 0733 547555
Linkers (K) Ltd,"Kenya Hse, 1st Flr, Koinange St ",/site/directions/1344602,Mobile  (+254) 0722 521957
Llumar Window Films,"Tirupati Kenya Ltd, Bldg, Enterprise Rd ",/site/directions/259549,Primary  (+254) (020) 655 08 66
Lubeschem (K) Ltd,"Lubeschem Kenya Ltd premises, Wundanyi Rd ",/site/directions/105119,Mobile  (+254) 0722 516053
Maisha Bora Sacco Society Ltd,"Unilever Kenya Ltd Premises, Commercial St ",http://www.maishaborasacco.com,Primary  (+254) (020) 692 23 37
Maji Works Ltd,"Kenya Hse, 2nd Flr, Koinange St ",/site/directions/826580,Mobile  (+254) 0722 747876
Makiga Engineering Services Ltd,"Kenya Industrial Estates Ltd (Bldg 17) Godown 27, Lokitaung Rd off Likoni Rd ",http://www.makiga-engineering.com,Primary  (+254) (020) 655 02 04
Management University of Africa,"Management University Of Kenya Premises, Popo Rd Off Mombasa Rd ",http://www.mua.ac.ke,Mobile  (+254) 0722 224193
